task,seed,metric,value,stderr
truthfulqa_mc2,0,acc,0.5242744957260068,0.015154004050616296
truthfulqa_mc2,0,HR_TQA_pre,0.4757255042739932,
arc_easy,0,acc,0.7941919191919192,0.008295873791918658
arc_easy,0,acc_norm,0.7807239057239057,0.008490095498938935
truthfulqa_mc2,1,acc,0.5242744957260068,0.015154004050616296
truthfulqa_mc2,1,HR_TQA_pre,0.4757255042739932,
arc_easy,1,acc,0.7941919191919192,0.008295873791918658
arc_easy,1,acc_norm,0.7807239057239057,0.008490095498938935
truthfulqa_mc2,2,acc,0.5242744957260068,0.015154004050616296
truthfulqa_mc2,2,HR_TQA_pre,0.4757255042739932,
arc_easy,2,acc,0.7941919191919192,0.008295873791918658
arc_easy,2,acc_norm,0.7807239057239057,0.008490095498938935
