adapter,task,metric,mean_pre,std_pre,n_seeds_pre,mean_post,std_post,n_seeds_post,delta
alpaca_10k,arc_easy,acc,0.7941919191919192,0.0,3,0.8404882154882155,0.0,3,0.04629629629629628
alpaca_10k,arc_easy,acc_norm,0.7807239057239057,0.0,3,0.8388047138047138,0.0,3,0.058080808080808066
alpaca_10k,truthfulqa_mc2,HR_TQA_post,0.4757255042739932,0.0,3,0.44004728343198335,6.798699777552591e-17,3,-0.03567822084200983
alpaca_10k,truthfulqa_mc2,acc,0.5242744957260068,0.0,3,0.5599527165680166,0.0,3,0.03567822084200978
alpaca_1k,arc_easy,acc,0.7941919191919192,0.0,3,0.8379629629629629,0.0,3,0.04377104377104368
alpaca_1k,arc_easy,acc_norm,0.7807239057239057,0.0,3,0.8383838383838383,0.0,3,0.05765993265993263
alpaca_1k,truthfulqa_mc2,HR_TQA_post,0.4757255042739932,0.0,3,0.45619711348893,0.0,3,-0.019528390785063188
alpaca_1k,truthfulqa_mc2,acc,0.5242744957260068,0.0,3,0.54380288651107,0.0,3,0.019528390785063188
alpaca_full,arc_easy,acc,0.7941919191919192,0.0,3,0.8207070707070706,1.3597399555105182e-16,3,0.02651515151515138
alpaca_full,arc_easy,acc_norm,0.7807239057239057,0.0,3,0.8236531986531986,0.0,3,0.04292929292929293
alpaca_full,truthfulqa_mc2,HR_TQA_post,0.4757255042739932,0.0,3,0.43167992979868447,6.798699777552591e-17,3,-0.04404557447530871
alpaca_full,truthfulqa_mc2,acc,0.5242744957260068,0.0,3,0.5683200702013155,0.0,3,0.04404557447530866
dolly_5k,arc_easy,acc,0.7941919191919192,0.0,3,0.8421717171717171,0.0,3,0.0479797979797979
dolly_5k,arc_easy,acc_norm,0.7807239057239057,0.0,3,0.8202861952861952,1.3597399555105182e-16,3,0.039562289562289465
dolly_5k,truthfulqa_mc2,HR_TQA_post,0.4757255042739932,0.0,3,0.5460998648009099,0.0,3,0.0703743605269167
dolly_5k,truthfulqa_mc2,acc,0.5242744957260068,0.0,3,0.45390013519909017,0.0,3,-0.07037436052691665
dolly_full,arc_easy,acc,0.7941919191919192,0.0,3,0.8526936026936026,1.3597399555105182e-16,3,0.05850168350168339
dolly_full,arc_easy,acc_norm,0.7807239057239057,0.0,3,0.843013468013468,0.0,3,0.062289562289562284
dolly_full,truthfulqa_mc2,HR_TQA_post,0.4757255042739932,0.0,3,0.5548754034947494,0.0,3,0.07914989922075621
dolly_full,truthfulqa_mc2,acc,0.5242744957260068,0.0,3,0.4451245965052506,0.0,3,-0.07914989922075621
