adapter,task,metric,mean,std,n_seeds
alpaca_10k,arc_easy,acc,0.8404882154882155,0.0,3
alpaca_10k,arc_easy,acc_norm,0.8388047138047138,0.0,3
alpaca_10k,truthfulqa_mc2,HR_TQA_post,0.44004728343198335,6.798699777552591e-17,3
alpaca_10k,truthfulqa_mc2,acc,0.5599527165680166,0.0,3
alpaca_1k,arc_easy,acc,0.8379629629629629,0.0,3
alpaca_1k,arc_easy,acc_norm,0.8383838383838383,0.0,3
alpaca_1k,truthfulqa_mc2,HR_TQA_post,0.45619711348893,0.0,3
alpaca_1k,truthfulqa_mc2,acc,0.54380288651107,0.0,3
alpaca_full,arc_easy,acc,0.8207070707070706,1.3597399555105182e-16,3
alpaca_full,arc_easy,acc_norm,0.8236531986531986,0.0,3
alpaca_full,truthfulqa_mc2,HR_TQA_post,0.43167992979868447,6.798699777552591e-17,3
alpaca_full,truthfulqa_mc2,acc,0.5683200702013155,0.0,3
dolly_5k,arc_easy,acc,0.8421717171717171,0.0,3
dolly_5k,arc_easy,acc_norm,0.8202861952861952,1.3597399555105182e-16,3
dolly_5k,truthfulqa_mc2,HR_TQA_post,0.5460998648009099,0.0,3
dolly_5k,truthfulqa_mc2,acc,0.45390013519909017,0.0,3
dolly_full,arc_easy,acc,0.8526936026936026,1.3597399555105182e-16,3
dolly_full,arc_easy,acc_norm,0.843013468013468,0.0,3
dolly_full,truthfulqa_mc2,HR_TQA_post,0.5548754034947494,0.0,3
dolly_full,truthfulqa_mc2,acc,0.4451245965052506,0.0,3
