adapter,task,seed,metric,value,stderr
alpaca_1k,truthfulqa_mc2,0,acc,0.54380288651107,0.015367513303283328
alpaca_1k,truthfulqa_mc2,0,HR_TQA_post,0.45619711348893,
alpaca_1k,arc_easy,0,acc,0.8379629629629629,0.007561148218715584
alpaca_1k,arc_easy,0,acc_norm,0.8383838383838383,0.007553218287120654
alpaca_1k,truthfulqa_mc2,1,acc,0.54380288651107,0.015367513303283328
alpaca_1k,truthfulqa_mc2,1,HR_TQA_post,0.45619711348893,
alpaca_1k,arc_easy,1,acc,0.8379629629629629,0.007561148218715584
alpaca_1k,arc_easy,1,acc_norm,0.8383838383838383,0.007553218287120654
alpaca_1k,truthfulqa_mc2,2,acc,0.54380288651107,0.015367513303283328
alpaca_1k,truthfulqa_mc2,2,HR_TQA_post,0.45619711348893,
alpaca_1k,arc_easy,2,acc,0.8379629629629629,0.007561148218715584
alpaca_1k,arc_easy,2,acc_norm,0.8383838383838383,0.007553218287120654
alpaca_10k,truthfulqa_mc2,0,acc,0.5599527165680166,0.015144024430264174
alpaca_10k,truthfulqa_mc2,0,HR_TQA_post,0.4400472834319834,
alpaca_10k,arc_easy,0,acc,0.8404882154882155,0.0075132941857442865
alpaca_10k,arc_easy,0,acc_norm,0.8388047138047138,0.007545270136525415
alpaca_10k,truthfulqa_mc2,1,acc,0.5599527165680166,0.015144024430264174
alpaca_10k,truthfulqa_mc2,1,HR_TQA_post,0.4400472834319834,
alpaca_10k,arc_easy,1,acc,0.8404882154882155,0.0075132941857442865
alpaca_10k,arc_easy,1,acc_norm,0.8388047138047138,0.007545270136525415
alpaca_10k,truthfulqa_mc2,2,acc,0.5599527165680166,0.015144024430264174
alpaca_10k,truthfulqa_mc2,2,HR_TQA_post,0.4400472834319834,
alpaca_10k,arc_easy,2,acc,0.8404882154882155,0.0075132941857442865
alpaca_10k,arc_easy,2,acc_norm,0.8388047138047138,0.007545270136525415
alpaca_full,truthfulqa_mc2,0,acc,0.5683200702013155,0.015189819077260967
alpaca_full,truthfulqa_mc2,0,HR_TQA_post,0.4316799297986845,
alpaca_full,arc_easy,0,acc,0.8207070707070707,0.007871252820726036
alpaca_full,arc_easy,0,acc_norm,0.8236531986531986,0.00782031381794749
alpaca_full,truthfulqa_mc2,1,acc,0.5683200702013155,0.015189819077260967
alpaca_full,truthfulqa_mc2,1,HR_TQA_post,0.4316799297986845,
alpaca_full,arc_easy,1,acc,0.8207070707070707,0.007871252820726036
alpaca_full,arc_easy,1,acc_norm,0.8236531986531986,0.00782031381794749
alpaca_full,truthfulqa_mc2,2,acc,0.5683200702013155,0.015189819077260967
alpaca_full,truthfulqa_mc2,2,HR_TQA_post,0.4316799297986845,
alpaca_full,arc_easy,2,acc,0.8207070707070707,0.007871252820726036
alpaca_full,arc_easy,2,acc_norm,0.8236531986531986,0.00782031381794749
dolly_5k,truthfulqa_mc2,0,acc,0.45390013519909017,0.01483860370056056
dolly_5k,truthfulqa_mc2,0,HR_TQA_post,0.5460998648009099,
dolly_5k,arc_easy,0,acc,0.8421717171717171,0.007481022051417311
dolly_5k,arc_easy,0,acc_norm,0.8202861952861953,0.007878465068489266
dolly_5k,truthfulqa_mc2,1,acc,0.45390013519909017,0.01483860370056056
dolly_5k,truthfulqa_mc2,1,HR_TQA_post,0.5460998648009099,
dolly_5k,arc_easy,1,acc,0.8421717171717171,0.007481022051417311
dolly_5k,arc_easy,1,acc_norm,0.8202861952861953,0.007878465068489266
dolly_5k,truthfulqa_mc2,2,acc,0.45390013519909017,0.01483860370056056
dolly_5k,truthfulqa_mc2,2,HR_TQA_post,0.5460998648009099,
dolly_5k,arc_easy,2,acc,0.8421717171717171,0.007481022051417311
dolly_5k,arc_easy,2,acc_norm,0.8202861952861953,0.007878465068489266
dolly_full,truthfulqa_mc2,0,acc,0.4451245965052506,0.014637853442198692
dolly_full,truthfulqa_mc2,0,HR_TQA_post,0.5548754034947494,
dolly_full,arc_easy,0,acc,0.8526936026936027,0.007272362176697233
dolly_full,arc_easy,0,acc_norm,0.843013468013468,0.0074647737163538236
dolly_full,truthfulqa_mc2,1,acc,0.4451245965052506,0.014637853442198692
dolly_full,truthfulqa_mc2,1,HR_TQA_post,0.5548754034947494,
dolly_full,arc_easy,1,acc,0.8526936026936027,0.007272362176697233
dolly_full,arc_easy,1,acc_norm,0.843013468013468,0.0074647737163538236
dolly_full,truthfulqa_mc2,2,acc,0.4451245965052506,0.014637853442198692
dolly_full,truthfulqa_mc2,2,HR_TQA_post,0.5548754034947494,
dolly_full,arc_easy,2,acc,0.8526936026936027,0.007272362176697233
dolly_full,arc_easy,2,acc_norm,0.843013468013468,0.0074647737163538236
